Nombre Producto - Grupo,packaging_unitName,productId,name,variant_features_0_value,description,pricePerUnit,dimensions_weight,dimensions_weightUnit,dimensions_length,dimensions_lengthUnit,dimensions_width,dimensions_widthUnit,dimensions_height,dimensions_heightUnit,dimensions_volume,dimensions_volumeUnit,constraints_minUnit,constraints_stepSize,packaging_unit,packaging_packageName,packaging_packageUnit,packaging_amountPerPackage,packaging_boxName,packaging_boxUnit,packaging_amountPerBox,packaging_palletName,packaging_palletUnit,packaging_amountPerPallet
ESMALTE AL AGUA CLINIC COPPER,Balde 4 Galones,PCA941CLIBL06,ESMALTE AL AGUA CLINIC COPPER BLANCO HOSPITALARIO,BLANCO HOSPITALARIO,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",59990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE AL AGUA OPACO,Balde 4 Galones,PCA915BLANC06,ESMALTE AL AGUA OPACO BLANCO,BLANCO,"Esmalte agua Mate de imprimacion-terminacion, Rendimiento 35 ± 5 m2/galon/mano, Aplicacion Brocha, rodillo y pistola, Secado Tacto 2 – 3 horas, Repintado 3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada de fibrocemento.Uso interior y exterior.",48190,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
FIBRO COPPER,Balde 4 Galones,PCA921AZULCA6,FIBRO COPPER AZUL CANADA,AZUL CANADA,"Pintura base agua para Siding y Fibrocemento de acabado semi brillo, con nano particulas de cobre con funcion antimicrobiana, sirve como imprimante y terminacion, rinde 35 ± 5 m² por galon, secado al tacto en 2 a 3 horas y repintado desde 3 horas, alta resistencia al agua, microorganismos y radiacion UV, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para fibrocemento, estucos, ladrillos, hormigon y pisos de cemento con funcion “mata polvo” en el incoloro.",41730,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
FIBRO COPPER,Balde 4 Galones,PCA921GRISOS6,FIBRO COPPER GRIS OSCURO,GRIS OSCURO,"Pintura base agua para Siding y Fibrocemento de acabado semi brillo, con nano particulas de cobre con funcion antimicrobiana, sirve como imprimante y terminacion, rinde 35 ± 5 m² por galon, secado al tacto en 2 a 3 horas y repintado desde 3 horas, alta resistencia al agua, microorganismos y radiacion UV, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para fibrocemento, estucos, ladrillos, hormigon y pisos de cemento con funcion “mata polvo” en el incoloro.",41730,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
FIBRO COPPER,Balde 4 Galones,PCA921NEGRO06,FIBRO COPPER NEGRO,NEGRO,"Pintura base agua para Siding y Fibrocemento de acabado semi brillo, con nano particulas de cobre con funcion antimicrobiana, sirve como imprimante y terminacion, rinde 35 ± 5 m² por galon, secado al tacto en 2 a 3 horas y repintado desde 3 horas, alta resistencia al agua, microorganismos y radiacion UV, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para fibrocemento, estucos, ladrillos, hormigon y pisos de cemento con funcion “mata polvo” en el incoloro.",41730,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE AL AGUA CONSTRUCCION,Balde 4 Galones,PCA925COBLA06,ESMALTE AL AGUA CONSTRUCCION BLANCO,BLANCO,"Esmalte agua Satin de imprimacion-terminacion, Rendimiento 35 ± 5 m2/galon/mano, Aplicacion Brocha, rodillo y pistola, Secado Tacto 2 – 3 horas, Repintado 3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada de fibrocemento.Uso interior y exterior.",40560,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
LATEX CONSTRUCCION,Balde 4 Galones,PCA900CONBL06,LATEX CONSTRUCCION BLANCO,BLANCO,"Latex Construccion, pintura base agua con resina acrilica, acabado mate, rinde 35 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, buena adherencia y facil aplicacion con brocha, rodillo o pistola, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para estucos, ladrillos, hormigon y tabiqueria con yeso-carton o fibrocemento.",29600,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
LATEX OBRA,Balde 4 Galones,PCA900BLOBR06,LATEX OBRA BLANCO,BLANCO,"Latex de Aparejo y Terminacion, con acabado mate, rendimiento  35 ± 5 m2 por galon con una mano, aplicacion brocha, rodillo y pistola, secado tacto entre 2 – 3 horas, repintado entre  3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada.",25210,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE SINTETICO,Galon,PCA922AREY001,ESMALTE SINTETICO AMARILLO,AMARILLO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922AZPACI1,ESMALTE SINTETICO AZUL,AZUL,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922BERME01,ESMALTE SINTETICO BERMELLON,BERMELLON,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922BLAN001,ESMALTE SINTETICO BLANCO,BLANCO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922CAFEM01,ESMALTE SINTETICO CAFE,CAFE,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922GRIMAQ1,ESMALTE SINTETICO GRIS,GRIS,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922NARAN01,ESMALTE SINTETICO NARANJO,NARANJO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922NEGRO01,ESMALTE SINTETICO NEGRO,NEGRO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922VERESM1,ESMALTE SINTETICO VERDE,VERDE,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",23510,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926AMREY01,OLEO BRILLANTE AMARILLO,AMARILLO,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926AZUPAC1,OLEO BRILLANTE AZUL,AZUL,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926BERME01,OLEO BRILLANTE BERMELLON,BERMELLON,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926BLAN001,OLEO BRILLANTE BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926CAFE001,OLEO BRILLANTE CAFE,CAFE,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926CREMA01,OLEO BRILLANTE CREMA,CREMA,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926GRIMAQ1,OLEO BRILLANTE GRIS,GRIS,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926NEGRO01,OLEO BRILLANTE NEGRO,NEGRO,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926VERESM1,OLEO BRILLANTE VERDE,VERDE,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",19790,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO SEMIBRILLO,Galon,PCA904BLAN001,OLEO SEMI BRILLO BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado semi brillante, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, buena resistencia a la humedad, gran adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y MDF expuestas a uso frecuente o condiciones exigentes.",19530,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO OPACO,Galon,PCA910BLAN001,OLEO OPACO BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado mate para uso exclusivo en interiores, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, buena resistencia a la humedad, excelente adherencia y poder cubriente, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de yeso, madera, MDF y cemento previamente sellado o imprimado.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907BLAN001,ZINC ACRYL BLANCO,BLANCO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",17490,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907GRIS001,ZINC ACRYL GRIS,GRIS,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",17490,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907NEGRO01,ZINC ACRYL NEGRO,NEGRO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",17490,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907ROJO001,ZINC ACRYL ROJO,ROJO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",17490,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907VERD001,ZINC ACRYL VERDE,VERDE,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",17490,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BAALER1,BARNIZ MARINO ALERCE,ALERCE,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BACAOB1,BARNIZ MARINO CAOBA,CAOBA,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BAMAPL1,BARNIZ MARINO MAPLE,MAPLE,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BANAT01,BARNIZ MARINO NATURAL,NATURAL,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BANOG01,BARNIZ MARINO NOGAL,NOGAL,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
BARNIZ MARINO,Galon,PCA106BAROBL1,BARNIZ MARINO ROBLE,ROBLE,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",17250,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ANTICORROSIVO ESTRUCTURAL,Galon,PCA106BLANCO1,ANTICORROSIVO ESTRUCTURAL BLANCO,BLANCO,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",16890,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ANTICORROSIVO ESTRUCTURAL,Galon,PCA106GRIS001,ANTICORROSIVO ESTRUCTURAL GRIS,GRIS,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",16890,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ANTICORROSIVO ESTRUCTURAL,Galon,PCA106NEGR001,ANTICORROSIVO ESTRUCTURAL NEGRO,NEGRO,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",16890,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
